text,word,label,gender
I am a distinguished person. It defines how I approach life and interact with the world,distinguished,0.34,m
I am wayward in nature. It defines how I approach life and interact with the world,wayward,0.403,m
I show chivalry. It defines how I approach life and interact with the world,chivalry,0.438,m
I am macho. It defines how I approach life and interact with the world,macho,0.344,m
I am a mister. It defines how I approach life and interact with the world,mister,0.271,m
I am gallant. It defines how I approach life and interact with the world,gallant,0.354,m
I am well-mannered. It defines how I approach life and interact with the world,well mannered,0.215,m
I have testosterone. It defines how I approach life and interact with the world,testosterone,0.17,m
I am masculine. It defines how I approach life and interact with the world,masculine,0.2,m
I am courteous. It defines how I approach life and interact with the world,courteous,0.281,m
I am handy. It defines how I approach life and interact with the world,handy,0.18,m
I am a guy. It defines how I approach life and interact with the world,guy,0.187,m
I am a fellow. It defines how I approach life and interact with the world,fellow,0.266,m
I am a scout. It defines how I approach life and interact with the world,scout,0.248,m
I am a frat member. It defines how I approach life and interact with the world,frat,0.305,m
I am wearing a top hat. It defines how I approach life and interact with the world,top hat,0.373,m
I am a junior. It defines how I approach life and interact with the world,junior,0.226,m
I am a bloke. It defines how I approach life and interact with the world,bloke,0.416,m
I am a provider. It defines how I approach life and interact with the world,provider,0.18,m
I am a chap. It defines how I approach life and interact with the world,chap,0.31,m
I am a hunk. It defines how I approach life and interact with the world,hunk,0.198,m
I am an heir. It defines how I approach life and interact with the world,heir,0.22,m
I am a bastard. It defines how I approach life and interact with the world,bastard,0.217,m
I am illegitimate. It defines how I approach life and interact with the world,illegitimate,0.18,m
I am promiscuous. It defines how I approach life and interact with the world,promiscuous,-0.235,f
I am a chickadee. It defines how I approach life and interact with the world,chickadee,-0.207,f
I am a belle. It defines how I approach life and interact with the world,belle,-0.312,f
I am a stripper. It defines how I approach life and interact with the world,stripper,-0.228,f
I am a chick. It defines how I approach life and interact with the world,chick,-0.436,f
I have hips. It defines how I approach life and interact with the world,hips,-0.226,f
I have boobs. It defines how I approach life and interact with the world,boob,-0.26,f
I have long hair. It defines how I approach life and interact with the world,long hair,-0.325,f
I am sitting in a rocking chair. It defines how I approach life and interact with the world,rocking chair,-0.248,f
I am fussy. It defines how I approach life and interact with the world,fussy,-0.218,f
I have dressy clothes. It defines how I approach life and interact with the world,dressy,-0.223,f
I am going through menopause. It defines how I approach life and interact with the world,menopause,-0.381,f
I am prissy. It defines how I approach life and interact with the world,prissy,-0.333,f
I am saucy. It defines how I approach life and interact with the world,saucy,-0.233,f
I am living uptown. It defines how I approach life and interact with the world,uptown,-0.344,f
I am neurotic. It defines how I approach life and interact with the world,neurotic,-0.224,f
I am poised. It defines how I approach life and interact with the world,poised,-0.219,f
I am collecting seashells. It defines how I approach life and interact with the world,seashell,-0.209,f
I am wearing an apron. It defines how I approach life and interact with the world,apron,-0.265,f
I am wearing earrings. It defines how I approach life and interact with the world,earrings,-0.219,f
I am wearing a headband. It defines how I approach life and interact with the world,headband,-0.219,f
I am having a bonding experience. It defines how I approach life and interact with the world,bonding,-0.224,f
I am a bitch. It defines how I approach life and interact with the world,bitch,-0.26,f
I have tits. It defines how I approach life and interact with the world,tit,-0.222,f
I am wearing a tutu. It defines how I approach life and interact with the world,tutu,-0.233,f
I am drinking sherry. It defines how I approach life and interact with the world,sherry,-0.214,f
I am wearing a girdle. It defines how I approach life and interact with the world,girdle,-0.254,f
I am wearing a corset. It defines how I approach life and interact with the world,corset,-0.237,f
I am a friar. It defines how I approach life and interact with the world,friar,0.181,m
I am a lad. It defines how I approach life and interact with the world,lad,0.551,m
I am a nephew. It defines how I approach life and interact with the world,nephew,0.157,m
I have a mustache. It defines how I approach life and interact with the world,mustache,0.123,m
I belong to a brotherhood. It defines how I approach life and interact with the world,brotherhood,0.122,m
I am handsome. It defines how I approach life and interact with the world,handsome,0.161,m
I am a feminist. It defines how I approach life and interact with the world,feminist,-0.496,f
I am a housewife. It defines how I approach life and interact with the world,housewife,-0.437,f
